puzzle,h3-tree_depth,h3-explored_nodes,h3-fringe_max,bfs-tree_depth,bfs-explored_nodes,bfs-fringe_max
"[3, 1, 2, 6, 5, 8, 7, 4, 0]",6,19,12,7,64,72
"[5, 7, 4, 3, 1, 2, 0, 6, 8]",14,125,79,15,3238,3382
"[1, 4, 2, 3, 7, 6, 0, 8, 5]",12,96,61,13,1456,1506
"[1, 2, 0, 3, 7, 5, 6, 8, 4]",8,36,23,9,162,201
"[4, 2, 5, 1, 0, 7, 6, 8, 3]",12,58,37,13,2333,2346
"[0, 3, 2, 4, 1, 5, 6, 7, 8]",4,14,9,5,26,31
"[0, 1, 5, 3, 2, 4, 6, 7, 8]",6,22,14,7,80,95
"[4, 2, 0, 1, 3, 5, 6, 7, 8]",6,19,12,7,85,101
"[1, 6, 2, 3, 0, 5, 7, 4, 8]",8,44,28,9,212,225
"[3, 1, 2, 6, 4, 5, 7, 8, 0]",4,12,7,5,30,34
"[3, 1, 2, 4, 5, 8, 0, 6, 7]",6,19,12,7,89,103
"[0, 7, 2, 4, 1, 5, 3, 6, 8]",10,80,51,11,476,500
"[1, 5, 8, 3, 0, 2, 6, 4, 7]",10,80,50,11,829,852
"[3, 1, 2, 6, 0, 4, 7, 8, 5]",6,19,12,7,128,135
"[0, 3, 2, 4, 1, 5, 6, 7, 8]",4,14,9,5,26,31
"[1, 2, 0, 3, 4, 5, 6, 7, 8]",2,7,4,3,7,12
"[4, 2, 5, 3, 1, 8, 0, 7, 6]",14,222,138,15,3575,3655
"[0, 3, 2, 6, 1, 7, 8, 4, 5]",12,79,50,13,1530,1572
"[0, 3, 1, 6, 5, 2, 7, 4, 8]",8,24,15,9,261,268
"[6, 1, 5, 7, 2, 4, 0, 3, 8]",12,81,51,13,1117,1202
"[1, 4, 2, 6, 3, 5, 7, 8, 0]",6,19,12,7,85,101
"[4, 3, 2, 1, 0, 5, 6, 7, 8]",6,35,23,7,72,99
"[4, 3, 2, 6, 1, 5, 0, 7, 8]",6,19,12,7,54,61
"[3, 2, 5, 4, 1, 8, 6, 7, 0]",6,19,12,7,54,61
"[4, 5, 1, 6, 0, 3, 7, 2, 8]",16,379,236,17,13440,12618
"[1, 2, 5, 3, 7, 4, 6, 8, 0]",6,19,12,7,81,99
"[3, 1, 2, 4, 7, 5, 0, 6, 8]",4,14,9,5,26,31
"[1, 4, 2, 6, 3, 7, 8, 5, 0]",10,39,25,11,700,712
"[7, 3, 1, 4, 5, 2, 0, 6, 8]",12,70,44,13,1239,1310
"[1, 4, 2, 6, 3, 5, 7, 8, 0]",6,19,12,7,85,101
"[1, 2, 5, 3, 0, 4, 6, 7, 8]",4,14,9,5,35,45
"[4, 5, 0, 1, 2, 8, 6, 3, 7]",12,46,29,13,1543,1589
"[1, 2, 0, 3, 7, 5, 6, 8, 4]",8,36,23,9,162,201
"[3, 1, 2, 7, 0, 8, 4, 5, 6]",10,49,31,11,729,765
"[0, 1, 5, 3, 2, 4, 6, 7, 8]",6,22,14,7,80,95
"[1, 5, 4, 3, 2, 8, 6, 7, 0]",8,42,26,9,161,198
"[3, 2, 5, 4, 0, 8, 6, 1, 7]",8,31,20,9,257,276
"[1, 5, 4, 3, 0, 2, 6, 7, 8]",6,23,15,7,80,106
"[0, 3, 2, 7, 1, 5, 4, 6, 8]",8,28,18,9,233,250
"[4, 3, 2, 1, 0, 5, 6, 7, 8]",6,35,23,7,72,99
"[0, 3, 8, 4, 2, 1, 6, 5, 7]",12,53,34,13,1648,1677
"[3, 1, 2, 4, 7, 5, 0, 6, 8]",4,14,9,5,26,31
"[3, 2, 5, 4, 0, 8, 6, 1, 7]",8,31,20,9,257,276
"[1, 2, 4, 3, 0, 6, 7, 8, 5]",12,103,65,13,2272,2291
"[0, 2, 5, 1, 7, 4, 3, 6, 8]",8,24,15,9,161,197
"[1, 2, 5, 3, 7, 4, 0, 6, 8]",6,19,12,7,80,95
"[4, 3, 2, 1, 5, 8, 6, 7, 0]",8,40,26,9,174,209
"[4, 3, 1, 7, 0, 2, 6, 8, 5]",10,46,29,11,764,787
"[1, 4, 2, 3, 0, 8, 6, 5, 7]",6,26,17,7,96,118
"[1, 8, 2, 3, 6, 7, 4, 5, 0]",14,134,84,15,3892,3930
"[3, 2, 5, 4, 0, 1, 6, 7, 8]",6,26,17,7,118,129
"[1, 4, 2, 3, 0, 5, 6, 7, 8]",2,9,6,2,6,12
"[1, 5, 4, 3, 0, 7, 6, 8, 2]",10,49,31,11,874,894
"[3, 5, 1, 6, 0, 2, 7, 4, 8]",8,36,23,9,230,246
"[1, 2, 0, 6, 4, 8, 5, 3, 7]",12,66,42,13,1515,1563
"[1, 4, 2, 3, 0, 7, 6, 8, 5]",6,26,17,7,123,132
"[1, 6, 0, 3, 4, 2, 7, 8, 5]",12,104,66,13,1113,1197
"[2, 7, 5, 6, 3, 4, 1, 8, 0]",16,201,126,17,10433,10069
"[1, 5, 4, 3, 0, 2, 6, 7, 8]",6,23,15,7,80,106
"[4, 7, 0, 1, 5, 2, 3, 6, 8]",10,41,26,11,476,501
"[1, 2, 5, 3, 7, 4, 0, 6, 8]",6,19,12,7,80,95
"[1, 4, 2, 3, 0, 8, 6, 5, 7]",6,26,17,7,96,118
"[2, 4, 0, 3, 7, 5, 6, 8, 1]",14,175,110,15,2910,3104
"[4, 3, 2, 6, 1, 8, 0, 5, 7]",10,36,23,11,434,466
"[2, 4, 6, 1, 0, 5, 7, 3, 8]",16,225,139,17,10310,10224
"[3, 1, 2, 4, 7, 5, 0, 6, 8]",4,14,9,5,26,31
"[1, 4, 2, 3, 7, 5, 0, 6, 8]",4,14,9,5,24,31
"[3, 1, 2, 7, 5, 8, 4, 6, 0]",8,28,18,9,209,233
"[1, 4, 2, 3, 0, 5, 6, 7, 8]",2,9,6,2,6,12
"[4, 2, 0, 1, 7, 5, 3, 6, 8]",8,24,15,9,251,259
"[2, 3, 5, 1, 0, 7, 6, 8, 4]",12,76,48,13,1542,1644
"[1, 7, 4, 3, 8, 2, 0, 6, 5]",10,33,21,11,585,610
"[1, 2, 5, 3, 4, 8, 0, 6, 7]",6,17,10,7,84,101
"[4, 5, 0, 1, 2, 7, 3, 6, 8]",12,56,35,13,1665,1690
"[0, 4, 2, 1, 5, 8, 3, 6, 7]",8,24,15,9,166,204
"[4, 3, 2, 6, 1, 5, 7, 8, 0]",8,24,15,9,253,260
"[3, 1, 2, 6, 0, 5, 7, 4, 8]",4,14,9,5,26,30
"[3, 4, 1, 6, 2, 5, 0, 7, 8]",12,169,104,13,1799,1808
"[3, 1, 2, 6, 0, 8, 5, 4, 7]",10,62,40,11,673,719
"[3, 1, 4, 6, 0, 2, 7, 5, 8]",10,55,35,11,653,704
"[3, 1, 2, 4, 5, 8, 6, 7, 0]",4,14,9,5,22,29
"[3, 2, 7, 1, 0, 5, 4, 6, 8]",14,197,123,15,5421,5337
"[3, 1, 5, 6, 0, 4, 7, 2, 8]",10,70,44,11,648,697
"[4, 3, 2, 6, 1, 5, 0, 7, 8]",6,19,12,7,54,61
"[4, 3, 1, 7, 0, 2, 6, 8, 5]",10,46,29,11,764,787
"[3, 2, 0, 4, 1, 5, 6, 7, 8]",4,14,9,5,26,31
"[1, 2, 5, 6, 0, 4, 7, 3, 8]",8,36,23,9,252,272
"[1, 2, 5, 3, 0, 4, 6, 7, 8]",4,14,9,5,35,45
"[1, 6, 2, 3, 0, 5, 7, 4, 8]",8,44,28,9,212,225
"[4, 3, 2, 6, 1, 5, 0, 7, 8]",6,19,12,7,54,61
"[1, 7, 2, 3, 0, 6, 4, 8, 5]",12,92,58,13,2276,2293
"[1, 4, 5, 2, 0, 3, 6, 7, 8]",12,139,87,13,1969,2028
"[3, 2, 5, 6, 4, 1, 7, 8, 0]",10,63,39,11,632,655
"[1, 2, 5, 3, 4, 8, 0, 6, 7]",6,17,10,7,84,101
"[0, 1, 5, 7, 2, 4, 3, 6, 8]",10,49,31,11,614,637
"[7, 3, 4, 6, 1, 2, 0, 8, 5]",14,125,79,15,2964,3151
"[3, 1, 5, 2, 0, 4, 6, 7, 8]",8,44,28,9,278,300
"[4, 1, 7, 6, 3, 2, 0, 8, 5]",18,833,515,19,18949,18074
"[4, 3, 1, 5, 8, 7, 0, 6, 2]",14,70,44,15,4382,4364
"[0, 4, 2, 1, 6, 5, 7, 3, 8]",8,31,20,9,188,220
